label,eye_side,iris_size,dpi
028_220329_1631_2_0_1.pts,right,3749.072825703546,96
028_220329_1631_2_0_2.pts,left,8993.364858267569,96
028_220329_1631_2_0_2.pts,right,3837.334125976938,96
028_220329_1631_2_0_3.pts,left,6146.306987927335,96
028_220329_1631_2_0_3.pts,right,4469.357118032299,96
028_220329_1631_2_0_4.pts,left,8367.59712625138,96
028_220329_1631_2_0_4.pts,right,5727.815430542594,96
028_220329_1631_2_0_5.pts,left,8644.082587041403,96
028_220329_1631_2_0_5.pts,right,4260.888010857011,96
028_220329_1631_2_0_6.pts,left,9784.51213622109,96
028_220329_1631_2_0_6.pts,right,2963.695606257158,96
028_220329_1631_2_0_7.pts,left,8965.3863576935,96
028_220329_1631_2_0_7.pts,right,2996.3707878483597,96
028_220329_1631_5_5_1.pts,left,2233.81985702414,96
028_220329_1631_5_5_1.pts,right,1478.0888002520803,96
028_220329_1631_5_5_2.pts,left,2609.743706617264,96
028_220329_1631_5_5_2.pts,right,1409.5139412766146,96
028_220329_1631_5_5_3.pts,left,5001.590037440132,96
028_220329_1631_5_5_3.pts,right,3383.3111556801396,96
028_220329_1631_5_5_4.pts,left,3248.492324945201,96
028_220329_1631_5_5_4.pts,right,855.3858664024126,96
028_220329_1631_5_5_5.pts,left,2009.266668127136,96
028_220329_1631_5_5_5.pts,right,1237.2682700618998,96
028_220329_1631_5_5_6.pts,left,2033.2117127998822,96
028_220329_1631_5_5_6.pts,right,604.073289413866,96
028_220329_1631_5_5_7.pts,left,1578.5543153200135,96
028_220329_1631_5_5_7.pts,right,2404.9048842862458,96
028_220329_1631_5_5_8.pts,left,2358.637951145153,96
028_220329_1631_5_5_8.pts,right,1175.5883342964216,96
028_220329_1637_5_5_1.pts,left,3643.565054426655,96
028_220329_1637_5_5_1.pts,right,1041.1770379418697,96
028_220329_1637_5_5_2.pts,left,1766.6336135087806,96
028_220329_1637_5_5_2.pts,right,890.6214460063001,96
028_220329_1637_5_5_3.pts,left,1661.4504734727468,96
028_220329_1637_5_5_3.pts,right,399.5870235917218,96
028_220329_1637_5_5_4.pts,left,2376.2003267433424,96
028_220329_1637_5_5_4.pts,right,742.2335530017557,96
028_220329_1637_5_5_5.pts,left,2017.0508365910703,96
028_220329_1637_5_5_5.pts,right,845.0971504619289,96
028_220329_1637_5_5_7.pts,left,1883.1971729325128,96
028_220329_1637_5_5_7.pts,right,859.0528031608951,96
028_220329_1637_5_5_8.pts,left,2160.669617414558,96
028_220329_1637_5_5_8.pts,right,358.58574880387323,96
028_220329_1643_5_5_1.pts,left,3738.625284801121,96
028_220329_1643_5_5_1.pts,right,700.9530255335775,96
028_220329_1643_5_5_2.pts,left,902.025427338837,96
028_220329_1643_5_5_2.pts,right,575.5825347043213,96
028_220329_1643_5_5_3.pts,left,2425.065182476038,96
028_220329_1643_5_5_3.pts,right,834.8861016731184,96
028_220329_1643_5_5_4.pts,left,1852.0596264122676,96
028_220329_1643_5_5_4.pts,right,1472.364120305563,96
028_220329_1643_5_5_5.pts,left,1607.5782681160626,96
028_220329_1643_5_5_5.pts,right,509.6361415823506,96
028_220329_1643_5_5_6.pts,left,1794.1461111725837,96
028_220329_1643_5_5_6.pts,right,908.3007586643769,96
028_220329_1643_5_5_8.pts,left,2873.5973469460664,96
028_220329_1643_5_5_8.pts,right,2205.2453265105105,96
028_220331_0637_5_5_1.pts,left,1764.2433850981988,96
028_220331_0637_5_5_1.pts,right,1121.5991918798616,96
028_220331_0637_5_5_2.pts,left,2192.8639607968157,96
028_220331_0637_5_5_2.pts,right,699.794126910247,96
028_220331_0637_5_5_4.pts,left,2146.172912647466,96
028_220331_0637_5_5_4.pts,right,1383.509408086499,96
028_220331_0637_5_5_5.pts,left,2071.085357568167,96
028_220331_0637_5_5_5.pts,right,1069.6747739684008,96
028_220331_0637_5_5_7.pts,left,1899.0526165222457,96
028_220331_0637_5_5_7.pts,right,765.2928430790938,96
028_220331_0637_5_5_8.pts,left,3026.27700458125,96
028_220331_0637_5_5_8.pts,right,2220.229850803517,96
028_220331_0642_5_5_1.pts,left,2110.4914014197034,96
028_220331_0642_5_5_1.pts,right,1007.139626869465,96
028_220331_0642_5_5_2.pts,left,1100.469363290599,96
028_220331_0642_5_5_2.pts,right,831.0647032758834,96
028_220331_0642_5_5_3.pts,left,1876.7289827245954,96
028_220331_0642_5_5_3.pts,right,1124.0138548999755,96
028_220331_0642_5_5_4.pts,left,2443.4897507247515,96
028_220331_0642_5_5_4.pts,right,1175.1031327644046,96
028_220331_0642_5_5_5.pts,left,2355.260739042525,96
028_220331_0642_5_5_5.pts,right,1253.015503238048,96
028_220331_0642_5_5_6.pts,left,2263.3612999433985,96
028_220331_0642_5_5_6.pts,right,2833.7759147325123,96
028_220331_0642_5_5_7.pts,left,1920.857887532028,96
028_220331_0642_5_5_7.pts,right,977.4166697079942,96
028_220331_0642_5_5_8.pts,left,2342.3714825165184,96
028_220331_0642_5_5_8.pts,right,1081.0778826363112,96
028_220331_1627_5_5_1.pts,left,3622.854104857827,96
028_220331_1627_5_5_1.pts,right,2830.589816183043,96
028_220331_1627_5_5_3.pts,left,2158.525480428463,96
028_220331_1627_5_5_3.pts,right,1700.1365690078128,96
028_220331_1627_5_5_4.pts,left,2345.8525417096967,96
028_220331_1627_5_5_4.pts,right,298.7035021679574,96
028_220331_1627_5_5_5.pts,left,1773.8025534113474,96
028_220331_1627_5_5_5.pts,right,1107.3363612325668,96
028_220331_1627_5_5_6.pts,left,2508.486684733647,96
028_220331_1627_5_5_6.pts,right,1086.5110925977638,96
028_220331_1627_5_5_7.pts,left,2744.1296956977476,96
028_220331_1627_5_5_7.pts,right,2234.9290137637563,96
028_220331_1627_5_5_8.pts,left,3333.4540802676956,96
028_220331_1627_5_5_8.pts,right,3118.2514928382716,96
029_220323_1647_5_5_1.pts,left,9142.3138746266,96
029_220323_1647_5_5_1.pts,right,8186.530560997127,96
029_220323_2105_5_5_1.pts,left,11764.4913068351,96
029_220323_2105_5_5_1.pts,right,10766.76860394487,96
029_220323_2105_5_5_2.pts,left,9252.263508849865,96
029_220323_2105_5_5_2.pts,right,9832.626500375396,96
029_220323_2105_5_5_3.pts,left,6500.299030139921,96
029_220323_2105_5_5_3.pts,right,10297.220057286919,96
029_220323_2105_5_5_4.pts,left,6525.895156285066,96
029_220323_2105_5_5_4.pts,right,8720.62225605836,96
029_220323_2105_5_5_6.pts,left,9153.04154087401,96
029_220323_2105_5_5_6.pts,right,7056.479612214439,96
029_220323_2105_5_5_7.pts,left,17403.764439094848,96
029_220323_2105_5_5_7.pts,right,13664.403498013982,96
029_220323_2105_5_5_8.pts,left,9089.696561002118,96
029_220323_2105_5_5_8.pts,right,8529.232068278598,96
029_220324_0734_5_5_1.pts,left,7323.305548259382,96
029_220324_0734_5_5_1.pts,right,7105.0093647308,96
029_220324_0734_5_5_2.pts,left,7536.493153067347,96
029_220324_0734_5_5_2.pts,right,7524.514085746262,96
029_220324_0734_5_5_3.pts,left,4380.773804511868,96
029_220324_0734_5_5_3.pts,right,5386.534621272232,96
029_220324_0734_5_5_4.pts,left,5706.899404786706,96
029_220324_0734_5_5_4.pts,right,3630.551006859108,96
029_220324_0734_5_5_5.pts,left,7860.671480997369,96
029_220324_0734_5_5_5.pts,right,7590.402010338269,96
029_220324_0734_5_5_6.pts,left,6930.776636162666,96
029_220324_0734_5_5_6.pts,right,7547.212965333088,96
029_220324_0734_5_5_7.pts,left,6931.847395658809,96
029_220324_0734_5_5_7.pts,right,6805.266518993278,96
029_220324_0734_5_5_8.pts,left,8364.96167908087,96
029_220324_0734_5_5_8.pts,right,9831.922260022286,96
029_220324_0737_5_5_1.pts,left,6931.486112503626,96
029_220324_0737_5_5_1.pts,right,5964.380848016438,96
