label,Facelandmark_pts,eye_side,eyelid,dpi
028_220328_1645_2_0_70.pts,68,left,152.31146633716645,96
028_220328_1645_2_0_70.pts,68,right,125.66283040121462,96
028_220328_1645_2_0_71.pts,68,left,148.25775790081872,96
028_220328_1645_2_0_71.pts,68,right,123.98057195473089,96
028_220328_1645_2_0_72.pts,68,left,152.65716309575674,96
028_220328_1645_2_0_72.pts,68,right,126.47305597987611,96
028_220328_1645_2_0_73.pts,68,left,140.59487899635576,96
028_220328_1645_2_0_73.pts,68,right,123.95977170033827,96
028_220328_1646_2_0_1.pts,68,left,155.0122405560998,96
028_220328_1646_2_0_1.pts,68,right,132.94074807973644,96
028_220328_1646_2_0_2.pts,68,left,142.38630649671998,96
028_220328_1646_2_0_2.pts,68,right,118.64017611622496,96
028_220328_1646_2_0_3.pts,68,left,152.5622614250035,96
028_220328_1646_2_0_3.pts,68,right,122.62230742315106,96
028_220329_0632_5_5_1.pts,68,left,146.160973853412,96
028_220329_0632_5_5_1.pts,68,right,128.66372729803152,96
028_220329_0632_5_5_2.pts,68,left,130.40427949692125,96
028_220329_0632_5_5_2.pts,68,right,124.42979725308759,96
028_220329_0632_5_5_3.pts,68,left,140.40833803193038,96
028_220329_0632_5_5_3.pts,68,right,123.24926075955919,96
028_220329_0632_5_5_5.pts,68,left,131.40512843027767,96
028_220329_0632_5_5_5.pts,68,right,112.63364900814007,96
028_220329_0632_5_5_6.pts,68,left,140.61714175574613,96
028_220329_0632_5_5_6.pts,68,right,115.88823159502533,96
028_220329_0632_5_5_7.pts,68,left,124.00152328813442,96
028_220329_0632_5_5_7.pts,68,right,110.73198499078754,96
028_220329_0632_5_5_8.pts,68,left,143.01437087851627,96
028_220329_0632_5_5_8.pts,68,right,124.74214515462602,96
028_220329_0633_4_0_1.pts,68,left,181.26021273909566,96
028_220329_0633_4_0_1.pts,68,right,147.1393896956215,96
028_220329_0633_4_0_2.pts,68,left,178.1877793851818,96
028_220329_0633_4_0_2.pts,68,right,151.5140349201281,96
028_220329_0633_4_0_3.pts,68,left,184.0622433972931,96
028_220329_0633_4_0_3.pts,68,right,151.72498878636387,96
028_220329_0638_5_5_1.pts,68,left,138.80530329285764,96
028_220329_0638_5_5_1.pts,68,right,115.97533262628636,96
028_220329_0638_5_5_2.pts,68,left,140.0517929989556,96
028_220329_0638_5_5_2.pts,68,right,120.34299707271907,96
028_220329_0638_5_5_4.pts,68,left,130.8145018294566,96
028_220329_0638_5_5_4.pts,68,right,110.69602271285305,96
028_220329_0638_5_5_5.pts,68,left,136.56846980340845,96
028_220329_0638_5_5_5.pts,68,right,118.8751282275276,96
028_220329_0638_5_5_6.pts,68,left,132.37255715928774,96
028_220329_0638_5_5_6.pts,68,right,115.68539713858058,96
028_220329_0638_5_5_7.pts,68,left,130.1220292648405,96
028_220329_0638_5_5_7.pts,68,right,114.42175031192475,96
028_220329_0638_5_5_8.pts,68,left,137.43024594316938,96
028_220329_0638_5_5_8.pts,68,right,118.4432588016538,96
028_220329_0644_5_5_1.pts,68,left,141.37912485386383,96
028_220329_0644_5_5_1.pts,68,right,122.58259007252583,96
028_220329_0644_5_5_2.pts,68,left,145.49824073010484,96
028_220329_0644_5_5_2.pts,68,right,130.42947540933977,96
028_220329_0644_5_5_3.pts,68,left,130.3531027206062,96
028_220329_0644_5_5_3.pts,68,right,115.61211249499569,96
028_220329_0644_5_5_4.pts,68,left,131.66704008385884,96
